station_id,station_name,free_bikes,empty_slots,latitude,longitude
3c3dcd5ab1d1b41a307a4436823f798a,Kelvin Hall Subway Station,15,0.0,55.870857,-4.300665
94bb26490e1ac10b92057d2136aaec12,Stobhill Hospital,3,3.0,55.890389,-4.216525
f6b64fd82fe6e607f1fc788ace31c3a1,Fullarton,13,,55.837175,-4.170209
2ee7f8a8347b8ee388d6beeef94c837d,Scotstoun South,14,0.0,55.875431,-4.342325
c8234c56f76f3f84d81c54ceedbdab54,Anderston Railway Station,3,3.0,55.859996,-4.270163
e7b590304d2ae958110e34961830ce68,Maryland Drive,6,4.0,55.846552,-4.332797
70c80c14fe5f7f1049a85e33856137ec,Trongate,2,2.0,55.855961,-4.244671
d1cfef68e6b380467d3f8927379319b3,Glasgow Cathedral - ELECTRIC,0,5.0,55.862973,-4.237745
12aac9e40a335ee43b231c94972a7a69,St Rollox,0,6.0,55.878152,-4.242439
0a106cbc148d5a0c2535b51c1dbe3b4d,Parkhead,7,,55.846524,-4.197475
b60e67062c32d2147f8892de3a446610,Anderston West,7,,55.861585,-4.274518
a1829c3fd840369355ada2949567d15a,Central Station - ELECTRIC,10,4.0,55.860776,-4.258597
2c49302c8bb3a00373f898594228a941,London Road Central,1,9.0,55.847638,-4.202957
d9eacbf78518d186400386d90f0cf49c,Broomhill Cross,14,0.0,55.875865,-4.319601
f6210447e1724487afe0ce63b011aecd,Knightswood Park,5,5.0,55.895974,-4.354877
3860eb7809fcced150d10d78ca2a165c,"University Hospital, Queen Eliza",8,0.0,55.862838,-4.341885
ed8440d874a0b4205ddbcc0bc56f3d49,Emirates Arena,5,6.0,55.846362,-4.208322
